barcode,sales_date,product_description,quantity_sold
4.80036E+12,03/01/2023 15:11,BEAR BRAND Powdered Milk Drink 135g,50
4.80036E+12,03/01/2023 15:11,NESTLE All-Purpose Cream 250ML,74
4.80058E+12,03/01/2023 15:11,ALASKA CONDENSED CLASSIC MILK 300ML,66
4.8065E+12,03/01/2023 15:14,CALLA POWDER ROSE GARDEN 800G,89
4.80001E+12,03/01/2023 15:14,GT GRANULES 50gX24 SUP,40
48042772,03/01/2023 15:16,Marlboro Blue FT20s,135.5
4.80037E+12,03/01/2023 15:48,SNACKERS NACHOS CHEESE 500G,75
40329055,03/01/2023 15:54,CAMEL CIG,176
48041812,03/01/2023 15:54,MIGHTY GREEN FLIPTOP,107
4.80167E+12,03/01/2023 15:58,DATU PUTI VINEGAR 1.8963 L,86
C18,03/01/2023 16:07,CURLS ASST 18,18.5
4.80002E+12,03/01/2023 16:07,Pic-A Ultimate Cheddar SN (180gX18),50
4.80002E+12,03/01/2023 16:07,DM TIDBITS FLAT 227G,34
4.80036E+12,03/01/2023 16:32,BEAR BRAND Powdered Milk Drink 300g,118
4.80009E+12,03/01/2023 16:47,CHOCO MUCHO CHOCO BOX 33,72
18,03/01/2023 16:49,18,18
4.80036E+12,03/01/2023 17:16,BEAR BRAND Powdered Milk Drink 135g,50
4.80489E+12,03/01/2023 17:16,BROWN SUGAR 450G,40
4.80167E+12,03/01/2023 17:16,MANG TOMAS SIGA 320G,40
4.80025E+12,03/01/2023 17:16,SAN MARINO CHILI CORNED TUNA 85G,27
40329055,03/01/2023 17:21,CAMEL CIG,88
4.80036E+12,03/01/2023 17:26,BEAR BRAND Powdered Milk Drink Swak by 8,78
4.80036E+12,03/01/2023 17:26,MILO 24G BY 12,47.5
4.98718E+12,03/01/2023 17:26,HEAD N SHOULDER ANTIBAC BY 12,38
4.80089E+12,03/01/2023 17:27,DOVE STRAIGHT PINK SH 12ML BY12,32
4.90243E+12,03/01/2023 17:27,DOWNY ANTIBAC TRIPID 66ML BY6,84
4.8065E+12,03/01/2023 17:27,CHAMPION 105G BY6,92
4.80063E+12,03/01/2023 17:28,BOY BAWANG SNACK MIX GARLIC 85G,22
4.80063E+12,03/01/2023 17:28,BOY BAWANG ASST NUTS 85G,22
4.80052E+12,03/01/2023 17:28,MOBY CHOCO 25g,6
8.99318E+12,03/01/2023 17:28,PINK LAVA 50G,55
4.8065E+12,03/01/2023 17:44,GARDENIA FIBER WHEAT 400G,68
4.8065E+12,03/01/2023 17:50,MAGIC PANTS L45,285
4.80019E+12,03/01/2023 17:51,PILLOWS UBE 38g,8
8.99867E+12,03/01/2023 17:55,KOPIKO BLANCA TP,114
4.80651E+12,03/01/2023 17:59,BOOSTER 45PCS,0
42,03/01/2023 17:59,42,42
4.80129E+12,03/01/2023 18:20,THOSE DAYS WINGS 8S,19
40329055,03/01/2023 18:21,CAMEL CIG,88
18,03/01/2023 18:21,18,18
7,03/01/2023 18:22,7,14
C18,03/01/2023 18:22,CURLS ASST 18,18.5
14,03/01/2023 18:22,14,14
BS18,03/01/2023 18:22,BODY SOAP ASST,19.5
4.80489E+12,03/01/2023 18:22,WASHED SUGAR 450G,41
48044295,03/01/2023 18:23,MARLBORO RED 20'S,135.5
4.80037E+12,03/01/2023 18:23,SUPER DELIGHT BROWNIES BITES,66
4.80777E+12,03/01/2023 18:24,PANCIT CANTON KALAMANSI,55
4.80089E+12,03/01/2023 18:24,SUNSILK STRONG & LONG 13ML BY12,33
12,03/01/2023 18:24,12,36
8.41016E+12,03/01/2023 18:25,FUNDADOR LIGHT 1L,395
4.0329E+12,03/01/2023 18:26,MIGHTY BLACK,88
4.80651E+12,03/01/2023 18:26,SAGO ME,28
4.80009E+12,03/01/2023 18:26,HANSEL MOCHA,53
P9,03/01/2023 18:26,POWDER ASST 9,0
TP9,03/01/2023 18:26,TOOTHPASTE RETAIL 9,27
6,03/01/2023 18:26,6,18
7,03/01/2023 18:26,7,21
BS18,03/01/2023 18:26,BODY SOAP ASST,39
4.80019E+12,03/01/2023 18:28,BREAD PAN CHEESE 24g LS,36
